City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Rikitea,PF,70.25,clear sky,-23.1203,-134.9692,People ThankYou
14,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
15,Kogon,UZ,80.24,clear sky,39.7228,64.5517,"""AFROSIYOB"" HOSTEL"
17,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
18,Omboue,GA,72.7,overcast clouds,-1.5746,9.2618,Hotel Olako
21,Casa Grande,US,78.55,clear sky,32.8795,-111.7573,Mainstay Suites Extended Stay Hotel Casa Grande
24,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
25,Hithadhoo,MV,80.82,broken clouds,-0.6,73.0833,Scoop Guest House
29,Saint Augustine,US,81.03,few clouds,29.8947,-81.3145,St. George Inn
30,Butaritari,KI,83.26,light rain,3.0707,172.7902,Isles Sunset Lodge
33,Pitimbu,BR,72.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
36,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
38,Lethem,GY,74.82,overcast clouds,3.3803,-59.7968,Savannah Inn
40,Sire,NG,75.54,overcast clouds,12.9299,5.2043,
43,Cockburn Town,TC,81.75,few clouds,21.4612,-71.1419,Osprey Beach Hotel
48,Hailey,US,82.26,smoke,43.5196,-114.3153,Wood River Inn & Suites
49,Ekibastuz,KZ,77.07,clear sky,51.6667,75.3667,
50,Tutoia,BR,76.59,scattered clouds,-2.7619,-42.2744,Pousada Guará's
52,Tortoli,IT,76.82,clear sky,39.9256,9.6572,Hotel La Bitta
53,Ribeira Grande,PT,70.9,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
55,Mayo,US,75.61,clear sky,38.8876,-76.5119,Resorts Resource Group International
56,Koumac,NC,78.33,clear sky,-20.5667,164.2833,Le Monitel
60,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
64,Tevaitoa,PF,78.03,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
65,Tabou,CI,74.97,overcast clouds,4.423,-7.3528,hotêl doufoulougou
70,Amanganj,IN,83.8,moderate rain,24.4333,80.0333,Matki Choraha
82,Vaitape,PF,78.06,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
89,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
101,Meulaboh,ID,80.98,moderate rain,4.1363,96.1285,Kost Pria
102,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
103,Aron,IN,77.5,moderate rain,24.3833,77.4167,Shri Ram marriage garden aron
105,Avarua,CK,77.05,clear sky,-21.2078,-159.775,Paradise Inn
