City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Kapaa,US,22.0752,-159.319,84.18,85,90,3.0,moderate rain
1,Ushuaia,AR,-54.8,-68.3,37.06,75,90,9.22,overcast clouds
2,Port Keats,AU,-14.25,129.55,88.11,30,53,6.13,broken clouds
3,Jamestown,US,42.097,-79.2353,67.32,68,1,1.01,clear sky
4,Port Elizabeth,ZA,-33.918,25.5701,41.29,87,0,0.0,clear sky
5,Mataura,NZ,-46.1927,168.8643,56.48,67,14,4.12,few clouds
6,Ewa Beach,US,21.3156,-158.0072,87.75,58,75,24.0,broken clouds
7,Albany,US,42.6001,-73.9662,64.92,86,0,4.12,clear sky
8,Inuvik,CA,68.3499,-133.7218,67.06,77,75,8.05,broken clouds
9,Ostrovnoy,RU,68.0531,39.5131,43.29,95,100,25.32,overcast clouds
10,Hilo,US,19.7297,-155.09,87.28,86,90,11.5,moderate rain
11,Rikitea,PF,-23.1203,-134.9692,70.25,58,9,12.35,clear sky
12,Charlestown,AU,-32.95,151.6667,65.93,57,6,4.0,clear sky
13,Cidreira,BR,-30.1811,-50.2056,59.85,81,0,6.62,clear sky
14,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,93,91,6.8,overcast clouds
15,Kogon,UZ,39.7228,64.5517,80.24,38,0,6.91,clear sky
16,Shimoda,JP,34.6667,138.95,86.11,70,9,7.36,clear sky
17,Acapulco,MX,16.8634,-99.8901,84.02,84,90,11.5,overcast clouds
18,Omboue,GA,-1.5746,9.2618,72.7,81,100,4.85,overcast clouds
19,Goderich,CA,43.7501,-81.7165,68.32,77,100,4.61,overcast clouds
20,Narsaq,GL,60.9167,-46.05,46.62,76,33,2.1,scattered clouds
21,Casa Grande,US,32.8795,-111.7573,78.55,83,1,5.75,clear sky
22,Khatanga,RU,71.9667,102.5,57.99,55,98,5.46,overcast clouds
23,Juneau,US,58.3019,-134.4197,58.21,93,90,1.01,moderate rain
24,Vaini,TO,-21.2,-175.2,82.56,83,20,6.91,few clouds
25,Hithadhoo,MV,-0.6,73.0833,80.82,74,74,2.01,broken clouds
26,Hermanus,ZA,-34.4187,19.2345,47.89,63,0,7.92,clear sky
27,Port Alfred,ZA,-33.5906,26.891,50.88,68,45,5.28,scattered clouds
28,Pevek,RU,69.7008,170.3133,40.21,93,90,5.61,overcast clouds
29,Saint Augustine,US,29.8947,-81.3145,81.03,95,20,6.91,few clouds
30,Butaritari,KI,3.0707,172.7902,83.26,76,4,16.46,light rain
31,Hobart,AU,-42.8794,147.3294,54.23,71,75,1.99,broken clouds
32,Savinka,RU,50.0785,47.0994,64.2,50,0,5.59,clear sky
33,Pitimbu,BR,-7.4706,-34.8086,72.19,80,1,15.26,clear sky
34,Shinjo,JP,38.7586,140.3008,87.85,59,80,6.89,broken clouds
35,Arman,RU,59.7,150.1667,61.43,79,57,5.1,broken clouds
