City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Vaini,-21.2,-175.2,82.56,83,20,5.75,few clouds
1,Bumba,2.1833,22.4667,70.25,94,97,2.86,light rain
2,Punta Arenas,-53.15,-70.9167,39.31,81,0,27.63,light rain
3,Atuona,-9.8,-139.0333,77.11,78,31,11.12,scattered clouds
4,Grindavik,63.8424,-22.4338,55.56,100,90,21.85,overcast clouds
5,Westport,41.1415,-73.3579,75.97,74,58,3.0,broken clouds
6,Qaqortoq,60.7167,-46.0333,46.9,83,40,2.15,scattered clouds
7,Cape Town,-33.9258,18.4232,50.11,82,0,5.75,clear sky
8,Sibolga,1.7427,98.7792,82.63,67,87,1.21,overcast clouds
9,Lannion,48.75,-3.4167,62.58,82,90,9.22,overcast clouds
10,Port Alfred,-33.5906,26.891,50.88,68,45,5.28,scattered clouds
11,Mataura,-46.1927,168.8643,56.48,67,14,4.12,few clouds
12,Tasiilaq,65.6145,-37.6368,42.96,99,100,2.77,light rain
13,Hobart,-42.8794,147.3294,55.22,72,75,5.01,broken clouds
14,Iqaluit,63.7506,-68.5145,51.53,62,75,5.99,broken clouds
15,Hilo,19.7297,-155.09,87.28,83,90,10.36,light rain
16,Bredasdorp,-34.5322,20.0403,44.28,87,0,6.91,clear sky
17,Tiksi,71.6872,128.8694,46.44,80,52,9.1,broken clouds
18,Chowchilla,37.123,-120.2602,104.58,11,1,6.91,clear sky
19,Campoverde,-8.4753,-74.8058,76.69,69,5,1.23,clear sky
20,Kapaa,22.0752,-159.319,84.18,83,90,4.0,mist
21,Oriximina,-1.7656,-55.8661,77.97,68,37,3.91,scattered clouds
22,Kodiak,57.79,-152.4072,56.71,82,90,9.22,overcast clouds
23,Sao Filipe,14.8961,-24.4956,73.99,74,21,9.46,few clouds
24,Sao Felix Do Xingu,-6.6447,-51.995,72.18,52,76,1.92,broken clouds
25,Busselton,-33.65,115.3333,57.04,71,100,14.0,overcast clouds
26,Hithadhoo,-0.6,73.0833,80.82,74,74,2.01,broken clouds
27,Dunedin,-45.8742,170.5036,53.8,51,14,11.99,few clouds
28,New Norfolk,-42.7826,147.0587,53.89,77,100,1.01,overcast clouds
29,San Andres,12.5847,-81.7006,82.42,83,75,11.5,broken clouds
30,Clyde River,70.4692,-68.5914,37.63,81,40,11.5,scattered clouds
31,Tommot,58.9564,126.2925,62.37,99,100,4.83,moderate rain
32,Amahai,-3.3333,128.9167,77.47,89,100,5.77,light rain
33,Hervey Bay,-25.2986,152.8535,75.31,63,29,9.57,scattered clouds
34,Tura,25.5198,90.2201,76.84,92,84,8.23,broken clouds
35,Broome,42.2506,-75.833,64.56,91,0,0.81,clear sky
36,Barrow,71.2906,-156.7887,39.22,87,90,14.97,overcast clouds
37,Tonantins,-2.8731,-67.8022,77.47,79,100,2.73,heavy intensity rain
38,Chatellerault,46.8,0.5333,63.55,1,25,6.38,scattered clouds
39,Georgetown,5.4112,100.3354,86.9,84,20,1.01,light rain
40,Torbay,47.6666,-52.7314,57.76,98,90,3.44,fog
41,Tuktoyaktuk,69.4541,-133.0374,60.8,48,75,16.11,broken clouds
42,Port-Gentil,-0.7193,8.7815,74.16,81,100,10.49,overcast clouds
43,Thinadhoo,0.5333,72.9333,81.95,77,72,8.34,broken clouds
44,Ambilobe,-13.2,49.05,60.64,91,12,3.87,few clouds
45,Qaanaaq,77.484,-69.3632,40.05,75,83,2.24,broken clouds
46,Southampton,50.904,-1.4043,63.66,90,100,1.01,moderate rain
47,Rocha,-34.4833,-54.3333,58.6,86,40,5.32,scattered clouds
48,Saint-Philippe,-21.3585,55.7679,65.79,71,37,5.53,scattered clouds
49,Kysyl-Syr,63.8986,122.7617,65.93,68,100,5.21,overcast clouds
50,Naze,28.3667,129.4833,77.92,91,100,26.55,moderate rain
51,Upernavik,72.7868,-56.1549,39.06,95,100,10.09,overcast clouds
52,Dikson,73.5069,80.5464,44.55,74,100,24.14,overcast clouds
53,Korem,12.5058,39.5228,55.69,81,100,8.99,light rain
54,Pacifica,37.6138,-122.4869,89.22,82,20,4.0,few clouds
55,Rikitea,-23.1203,-134.9692,70.25,58,9,12.35,clear sky
56,Ndende,-2.4008,11.3581,68.2,88,13,2.17,few clouds
57,Albany,42.6001,-73.9662,65.05,85,0,4.12,clear sky
58,Ponta Do Sol,32.6667,-17.1,70.72,77,1,5.88,clear sky
59,Gorontalo,0.5412,123.0595,85.8,54,83,5.01,broken clouds
60,Biltine,14.5333,20.9167,79.02,68,100,2.64,overcast clouds
61,Lompoc,34.6391,-120.4579,79.02,76,20,12.66,few clouds
62,Victoria,22.2855,114.1577,87.85,87,5,5.66,light rain
63,Galich,58.3797,42.3475,46.81,96,90,3.83,overcast clouds
64,Bengkulu,-3.8004,102.2655,81.03,71,100,1.23,overcast clouds
65,Vestmannaeyjar,63.4427,-20.2734,53.58,99,100,14.63,overcast clouds
66,Sitka,57.0531,-135.33,57.09,82,90,11.5,light rain
67,Ushuaia,-54.8,-68.3,37.06,75,90,10.36,overcast clouds
68,Salalah,17.0151,54.0924,77.09,100,90,9.22,light intensity drizzle
69,Jamestown,42.097,-79.2353,69.12,59,40,4.61,scattered clouds
70,Bonnyville,54.2668,-110.735,72.72,40,41,14.94,scattered clouds
71,Saquena,-4.6667,-73.5167,75.96,68,96,1.19,overcast clouds
72,Santa Isabel Do Rio Negro,-0.4139,-65.0192,72.61,99,100,1.01,overcast clouds
73,Pullman,46.7313,-117.1796,85.42,20,1,4.0,clear sky
74,Smithers,54.7804,-127.1743,62.92,67,75,2.3,light rain
75,Narsaq,60.9167,-46.05,46.62,76,33,2.1,scattered clouds
76,Antofagasta,-23.65,-70.4,56.48,73,100,4.74,overcast clouds
77,Cap-Aux-Meules,47.3821,-61.8597,55.45,88,75,16.11,broken clouds
78,Marquette,46.5333,-87.6335,70.68,88,73,10.47,broken clouds
79,Ust-Nera,64.5667,143.2,68.29,63,100,2.73,overcast clouds
80,Plainview,40.7765,-73.4673,76.48,58,1,1.01,clear sky
81,Cabra,37.4725,-4.4421,78.24,36,0,2.19,clear sky
82,Port Blair,11.6667,92.75,82.31,83,100,21.83,moderate rain
83,Hermanus,-34.4187,19.2345,49.89,63,0,7.92,clear sky
84,Haverfordwest,51.8017,-4.9691,66.16,82,97,1.01,overcast clouds
85,Mezen,65.8522,44.24,43.39,86,100,9.15,overcast clouds
86,Port Elizabeth,-33.918,25.5701,43.09,87,0,4.61,clear sky
87,Nara,34.6851,135.8049,90.97,43,24,3.22,few clouds
88,Price,39.5994,-110.8107,84.11,34,1,8.05,clear sky
89,Pevek,69.7008,170.3133,40.21,93,90,5.61,overcast clouds
90,Kalmunai,7.4167,81.8167,81.03,68,97,8.72,overcast clouds
91,Lokosovo,61.1333,74.8167,63.86,91,96,4.94,light rain
92,Banjarmasin,-3.3244,114.591,86.14,65,99,6.06,overcast clouds
93,Namibe,-15.1961,12.1522,64.38,84,0,3.76,clear sky
94,Hamilton,39.1834,-84.5333,76.01,77,1,0.0,clear sky
95,Merauke,-8.4667,140.3333,81.81,65,94,9.62,overcast clouds
96,Pangnirtung,66.1451,-65.7125,44.28,75,16,0.94,few clouds
97,Mahebourg,-20.4081,57.7,68.25,94,75,6.91,light rain
98,Lasa,46.6166,10.7002,65.66,72,100,2.62,overcast clouds
99,Tyret Pervaya,53.6703,102.3106,68.23,63,19,5.19,few clouds
100,Butaritari,3.0707,172.7902,83.26,76,4,16.46,light rain
101,Chokurdakh,70.6333,147.9167,47.08,60,98,14.47,overcast clouds
102,Castro,-24.7911,-50.0119,50.61,80,0,3.67,clear sky
103,Isfana,39.8386,69.5306,68.56,35,0,2.37,clear sky
104,Tecoanapa,16.5167,-98.75,82.44,81,100,8.05,overcast clouds
