City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-07-23 01:11:10,-54.8,-68.3,38.86,70,75,4.61
1,Saskylakh,RU,2021-07-23 01:11:10,71.9167,114.0833,66.29,67,53,9.1
2,New Norfolk,AU,2021-07-23 01:11:10,-42.7826,147.0587,55.71,58,47,4.0
3,Jamestown,US,2021-07-23 01:08:58,42.097,-79.2353,65.79,67,1,1.81
4,Kartuzy,PL,2021-07-23 01:11:11,54.3342,18.1974,56.57,97,0,3.44
5,Chuy,UY,2021-07-23 01:11:11,-33.6971,-53.4616,50.32,77,100,5.86
6,Nelson Bay,AU,2021-07-23 01:11:12,-32.7167,152.15,64.11,57,67,1.99
7,Hilo,US,2021-07-23 01:11:12,19.7297,-155.09,80.33,80,90,12.66
8,Albany,US,2021-07-23 01:06:59,42.6001,-73.9662,70.63,63,100,3.0
9,Dunedin,NZ,2021-07-23 01:07:20,-45.8742,170.5036,54.81,57,7,7.0
10,Bilibino,RU,2021-07-23 01:11:13,68.0546,166.4372,64.8,34,100,3.65
11,Mar Del Plata,AR,2021-07-23 01:09:16,-38.0023,-57.5575,56.88,54,100,10.0
12,Vaini,TO,2021-07-23 01:06:55,-21.2,-175.2,80.76,78,20,5.75
13,Rikitea,PF,2021-07-23 01:11:13,-23.1203,-134.9692,73.51,73,0,19.33
14,Faanui,PF,2021-07-23 01:11:14,-16.4833,-151.75,78.01,69,10,14.54
15,Ninotsminda,GE,2021-07-23 01:11:14,41.2646,43.5916,59.45,99,100,5.1
16,Laguna,US,2021-07-23 01:11:14,38.421,-121.4238,102.31,24,1,3.0
17,Tasiilaq,GL,2021-07-23 01:06:36,65.6145,-37.6368,42.96,97,100,2.66
18,Hermanus,ZA,2021-07-23 01:11:15,-34.4187,19.2345,43.9,73,68,9.75
19,Saint-Philippe,RE,2021-07-23 01:11:15,-21.3585,55.7679,65.79,77,45,13.22
20,Shimoda,JP,2021-07-23 01:06:20,34.6667,138.95,82.74,72,31,5.93
21,Busselton,AU,2021-07-23 01:11:16,-33.65,115.3333,55.09,78,92,24.63
22,Presidencia Roque Saenz Pena,AR,2021-07-23 01:11:16,-26.7852,-60.4388,63.23,44,0,6.73
23,Awbari,LY,2021-07-23 01:11:16,26.5921,12.7805,81.1,25,0,11.14
24,Port Alfred,ZA,2021-07-23 01:11:17,-33.5906,26.891,52.77,69,98,23.06
25,Hithadhoo,MV,2021-07-23 01:11:17,-0.6,73.0833,80.82,76,100,10.85
26,Punta Arenas,CL,2021-07-23 01:11:18,-53.15,-70.9167,33.91,86,40,11.5
27,Antofagasta,CL,2021-07-23 01:11:18,-23.65,-70.4,56.48,84,36,3.6
28,Yerbogachen,RU,2021-07-23 01:11:18,61.2767,108.0108,68.83,64,22,3.24
29,Kenai,US,2021-07-23 01:11:19,60.5544,-151.2583,68.02,68,75,9.22
30,Fort Nelson,CA,2021-07-23 01:11:19,58.8053,-122.7002,56.89,93,100,7.4
31,Helong,CN,2021-07-23 01:11:19,42.5397,128.9972,82.65,65,100,2.55
32,Kurumkan,RU,2021-07-23 01:11:20,54.3,110.3,71.33,64,3,3.51
33,Koungou,YT,2021-07-23 01:11:20,-12.7336,45.2042,74.91,78,0,10.36
34,Port Pirie,AU,2021-07-23 01:11:21,-33.1833,138.0167,53.69,77,82,3.49
35,Clyde River,CA,2021-07-23 01:11:21,70.4692,-68.5914,37.63,93,90,6.91
36,Ribeira Grande,PT,2021-07-23 01:11:21,38.5167,-28.7,68.67,76,5,7.34
37,Iqaluit,CA,2021-07-23 01:11:22,63.7506,-68.5145,49.73,93,90,10.0
38,Bluff,NZ,2021-07-23 01:11:22,-46.6,168.3333,49.8,65,78,11.23
39,Mitsamiouli,KM,2021-07-23 01:11:22,-11.3847,43.2844,76.8,64,8,7.63
40,Tradate,IT,2021-07-23 01:11:23,45.711,8.9076,74.35,71,40,8.05
41,Butaritari,KI,2021-07-23 01:11:23,3.0707,172.7902,83.41,76,100,15.77
42,Atuona,PF,2021-07-23 01:07:39,-9.8,-139.0333,77.47,72,96,10.25
43,Castro,BR,2021-07-23 01:07:47,-24.7911,-50.0119,48.15,58,0,3.29
44,Tanout,NE,2021-07-23 01:11:24,14.9709,8.8879,86.49,48,81,13.53
45,Qaanaaq,GL,2021-07-23 01:11:24,77.484,-69.3632,43.75,71,8,4.9
46,Kruisfontein,ZA,2021-07-23 01:11:24,-34.0033,24.7314,43.88,78,100,5.86
47,Arraial Do Cabo,BR,2021-07-23 01:11:25,-22.9661,-42.0278,68.36,75,17,10.51
48,Cape Town,ZA,2021-07-23 01:07:18,-33.9258,18.4232,48.11,80,0,3.0
49,Riyadh,SA,2021-07-23 01:06:34,24.6877,46.7219,91.54,29,88,10.2
50,Trat,TH,2021-07-23 01:11:25,12.5,102.5,77.76,92,100,6.35
51,Mataura,NZ,2021-07-23 01:11:26,-46.1927,168.8643,49.48,75,18,3.06
52,Evansville,US,2021-07-23 01:10:53,37.9748,-87.5558,81.01,76,1,1.01
53,Henties Bay,NA,2021-07-23 01:11:26,-22.116,14.2845,54.86,77,0,2.66
54,Flinders,AU,2021-07-23 01:11:27,-34.5833,150.8552,57.2,68,85,1.99
